u,v,t,h
52169,57723,57,2
37686,63314,35,3
6487,76176,87,8
33723,58644,43,4
13046,77377,77,1
75102,77377,77,5
33713,49225,51,6
2328,33206,43,2
2328,83074,64,6
14003,64759,8,6
1845,76839,23,5
26229,35091,6,9
59251,73360,75,3
19276,51502,72,8
13751,60199,40,3
71215,78815,67,8
26870,58086,95,0
49372,75716,55,2
6953,8734,4,9
17414,76576,7,8
17414,53433,73,5
19876,71864,82,0
18075,55492,80,2
42994,83599,17,8
33896,46333,48,1
27066,58020,90,0
38958,52921,84,3
40536,67298,90,2
56171,67781,86,5
26504,56338,25,3
37074,38544,27,5
30986,47760,14,8
3918,64450,95,0
34363,75576,70,6
35384,83542,47,1
21185,29070,70,8
61037,69816,86,4
7092,52311,94,3
59806,80636,44,5
13081,32215,29,4
32215,45540,26,4
32215,66173,19,5
22266,22823,61,9
57405,57688,47,4
54737,80816,83,3
57722,72039,39,4
49064,63507,29,5
7528,64364,99,9
40192,82493,22,6
39354,61350,90,8
957,73361,1,8
9492,66873,65,2
8129,26214,6,9
38958,51374,84,6
56568,57130,61,5
23068,71269,18,7
47012,62781,50,4
40955,64457,77,3
61595,73749,63,4
21020,44835,7,5
8460,47926,56,4
26412,64409,17,8
7158,48135,58,1
34123,49181,51,2
16252,46732,38,3
23218,35639,58,4
71816,78031,77,4
1300,82696,27,9
4098,42723,63,2
3850,63720,1,9
8494,75450,97,9
53797,78922,53,5
26302,38521,95,2
527,42261,79,4
12795,44933,67,6
32556,82707,98,3
72,56277,47,1
64343,66115,76,7
38585,67712,69,4
2673,3476,6,8
3476,66787,69,1
22377,63797,99,0
32635,71510,85,0
56437,69571,5,8
39451,83495,35,2
16043,20791,43,3
25597,53791,31,4
60689,72054,2,7
1920,45917,52,3
26419,69403,44,2
32288,58319,40,9
49347,66173,72,6
72337,76986,44,5
70655,71986,94,3
2295,83774,94,1
1322,37884,57,8
44900,51781,90,0
12585,79122,98,0
5752,76574,70,3
71608,80772,77,2
34579,74967,63,4
47513,67629,62,2
5028,42326,11,8
50516,66171,74,2
16108,70518,35,5
48270,77512,76,5
29965,34363,10,9
11484,62574,59,5
31389,62054,42,3
42472,79664,56,3
9737,66719,38,7
11592,16250,97,4
7183,79191,70,3
43363,84486,27,6
21557,41651,38,2
40785,79291,13,9
33054,71882,55,7
5991,44352,24,3
31888,71479,99,9
4323,30104,28,9
5716,38544,25,6
38862,41222,7,7
5830,58159,76,5
9988,66582,87,2
40118,57924,33,2
10778,23098,62,1
42326,81115,87,2
28944,76659,96,0
11194,75134,39,5
59493,75161,75,8
34949,35487,10,9
31942,59825,75,2
64468,64819,62,7
16070,60802,87,3
45790,78876,26,8
8941,9944,23,4
5069,55158,25,5
4292,23091,53,7
26535,28583,24,3
37008,58159,54,6
29639,49829,94,5
13311,49829,9,9
62781,76835,83,0
67162,76484,97,0
14214,63959,38,7
15292,52921,2,9
52921,59778,71,1
25361,59932,54,5
13229,73360,88,2
19041,23309,53,1
28686,29763,75,6
45745,84038,3,8
77921,81946,21,6
29457,78414,13,8
7372,27237,20,1
9492,12530,18,6
28318,32215,19,3
2328,7789,51,4
26147,81734,53,6
18851,51911,52,2
13169,56239,15,7
40418,65966,51,7
12930,50584,22,5
117,53460,64,4
73848,75586,51,3
8993,14629,90,2
52893,66679,38,6
37462,48737,89,0
37462,73928,86,0
7119,54866,72,2
7183,81310,40,5
24197,56808,40,4
51301,51715,24,9
8844,56924,81,6
39821,42462,88,1
2988,47860,2,9
27746,41914,73,5
29391,54411,58,1
32215,36082,30,3
878,21613,91,0
45798,65491,47,3
41136,60767,90,3
5652,55138,78,3
33377,39069,80,4
38694,39069,41,5
31318,78568,45,3
31318,79278,49,7
1514,20240,11,9
53697,75298,69,9
59251,72337,75,8
7044,9586,95,3
27564,65390,96,0
26381,83282,75,2
35023,50090,3,9
23746,35250,35,2
10195,69512,37,6
17370,78963,94,5
3718,72629,57,1
2673,49064,82,1
18460,26135,3,8
9739,45756,77,3
68045,74873,43,3
63845,84464,31,5
39580,67663,15,4
15592,25118,61,3
10372,23184,58,0
40867,75716,42,2
25891,34579,28,6
28403,52867,32,3
21972,57289,28,6
48621,57329,79,0
17924,53046,74,6
75638,83460,72,8
16255,39631,21,2
4542,35155,33,4
32215,47165,29,4
6801,12489,25,3
26796,32215,23,4
12491,26796,51,8
7044,14852,89,2
13842,44950,83,6
25891,44950,82,6
26148,69264,75,7
5947,51219,70,1
14082,35848,17,6
59251,78711,75,1
22742,30146,72,2
14561,32215,21,6
9253,62152,99,1
56924,63507,11,8
6291,43060,46,1
14873,34209,15,8
12496,63865,27,5
13190,24631,84,4
51061,69209,75,6
51061,67911,30,4
63648,76023,26,4
34777,38615,54,2
1764,22675,72,3
4711,6526,61,2
19276,61329,66,3
18075,26878,80,2
43960,60505,17,7
3850,69512,54,7
59232,75134,40,3
8184,77976,17,6
47937,72003,20,7
32215,54682,29,5
49157,74556,51,5
74296,83417,35,6
14544,25252,24,6
13435,38926,65,3
8124,72054,51,5
245,36630,85,2
64721,69512,18,7
75491,81003,84,9
31460,61885,66,8
29986,74380,14,7
33572,82993,37,3
31101,59359,64,1
17924,37907,91,4
58644,73902,34,4
18575,68504,81,3
62520,74865,47,3
50288,56414,38,4
56560,63796,26,3
52979,67854,45,2
5542,43455,88,0
13717,39249,57,5
19739,25597,7,8
56589,64389,46,2
22602,62706,6,9
19931,27069,56,0
32748,72302,83,2
7206,35634,62,2
13526,64409,76,2
22141,57177,36,1
6643,43646,71,1
36039,56744,38,1
48308,58429,42,2
4531,31974,17,8
41880,48294,62,4
6588,69801,70,0
47281,69801,72,6
8423,30914,52,6
24714,72159,47,3
59130,62115,38,6
65720,76866,9,9
2788,76180,99,1
23091,62825,43,8
127,20498,31,3
11020,30589,2,8
11532,83542,4,9
11582,52037,21,7
30191,60495,68,3
12795,83361,89,1
11135,48517,62,4
83774,84114,95,6
20359,60987,57,5
24517,60992,60,3
52097,66739,65,0
42347,56375,95,2
47583,49064,47,7
3144,43455,19,6
20901,69302,15,6
38150,70229,26,6
17685,31241,28,2
7820,50552,71,1
3856,12441,66,7
41747,84631,41,2
9172,46048,54,0
18927,70070,93,0
40785,51608,29,7
22526,37432,3,9
26381,68727,66,9
50031,73470,14,7
8709,69693,94,1
7531,38150,1,9
9489,29408,71,3
30405,45543,50,2
17924,74434,4,8
25503,63711,78,0
14544,68730,50,1
17641,59748,18,7
9368,28634,8,9
12839,27321,90,2
16964,21999,62,7
42317,47286,68,1
43960,67291,16,7
14430,47281,69,5
11442,53331,81,4
19763,42340,53,3
17835,34699,86,4
22632,23963,92,0
19739,61857,11,8
71544,83041,69,3
9122,65986,46,5
58840,73249,2,6
19794,46895,8,8
45663,53663,5,8
64925,78680,44,9
13190,36347,60,1
21522,71957,72,1
27767,55177,59,5
17801,60712,82,2
2292,16702,10,8
22295,81598,46,4
27272,70436,38,2
589,28970,75,7
34650,77810,96,6
23086,30979,91,5
9466,21661,68,8
35540,53940,78,1
8844,83769,57,4
15219,40746,55,1
40955,47058,99,0
4711,33681,88,0
32215,68381,28,3
32076,62884,96,0
16911,18156,38,0
3489,26935,77,5
41628,64277,3,9
35747,79938,79,1
57821,67834,6,7
56266,82130,56,4
39966,59259,55,4
9200,48279,50,8
54372,64756,97,6
19960,20660,96,0
2777,24935,75,3
8709,11255,70,4
8909,68381,27,5
54862,58159,2,9
33896,63507,24,9
8542,36273,8,9
43997,83167,70,0
7044,11533,1,9
7044,42103,96,5
46029,75177,39,6
79478,84631,78,0
44933,55783,56,4
34457,66429,22,9
19772,61251,97,0
62252,84035,26,3
17644,37772,42,5
14266,44864,49,1
21946,82892,34,5
22766,82018,28,7
29230,60689,21,7
47760,62216,43,8
503,37291,51,1
13813,58406,4,9
38257,54944,22,6
10885,58895,67,8
6253,46675,45,2
31318,60930,91,0
47407,52326,12,6
9037,38825,93,0
14090,61037,85,0
18649,23385,22,5
18649,69367,22,7
18649,69864,80,4
7528,20498,67,6
16079,19625,89,6
23001,32940,54,5
37008,37685,74,2
26056,51254,99,0
20134,63869,48,9
13520,55588,93,3
15689,74562,31,3
22967,57495,16,8
41436,76308,12,8
5893,34623,98,5
1308,13577,58,2
51628,62306,29,7
36904,73360,76,0
56211,84022,88,0
19520,19939,28,4
20815,81295,14,9
32215,49164,27,3
52886,80577,45,6
56589,75257,68,3
52979,67604,69,3
53862,62818,69,7
56921,57665,60,3
16380,75134,5,8
24918,62706,63,3
1879,44207,35,8
45709,57289,50,2
14430,28947,43,5
37490,57354,48,8
12986,26406,34,8
25917,80816,84,4
9203,77276,92,0
12842,20969,63,1
35479,37008,65,3
15357,16267,38,6
27890,72635,41,3
50552,68462,92,0
61022,69512,1,9
22326,48135,11,8
12489,81791,79,7
15866,58474,70,1
6268,61329,38,2
34327,61747,15,5
11396,40951,60,3
52037,74159,42,2
36347,58491,32,4
32215,51470,20,5
61929,83698,59,4
34650,58428,55,5
21931,81672,26,6
27723,29697,49,4
16070,79379,55,7
38958,39917,84,5
44639,46670,92,0
589,10778,18,7
18759,64740,49,2
18732,83588,12,8
22526,51132,38,3
10864,11415,41,8
423,45440,41,3
55158,62825,45,8
23990,64397,17,8
22842,69403,51,2
35091,41531,40,3
11052,62481,98,0
6487,51645,55,8
33723,61329,63,1
5931,64343,76,9
9479,83426,47,2
8350,37407,86,3
50441,82300,13,7
60106,83449,69,2
38257,55158,14,8
46665,55158,46,6
3680,29697,12,9
4292,4634,75,6
29207,72527,22,7
19439,80946,65,0
70740,84438,48,6
36517,80636,3,9
18373,25182,30,4
42604,49829,6,9
1101,69601,65,4
23850,48024,53,1
23707,38030,48,8
38257,52406,36,6
4784,71554,33,7
53156,56806,31,8
52406,60152,52,6
11554,81115,98,7
26870,37826,48,3
8124,14214,13,8
13867,34852,31,1
8125,18927,98,0
62934,72721,41,3
18461,43088,53,6
22842,79114,86,0
37517,55574,61,8
8922,68654,75,5
13196,76576,11,9
17531,61393,90,4
42703,70164,97,7
46304,76407,32,5
1511,26165,12,6
39565,42332,78,0
63083,68643,97,0
34883,39917,53,6
12766,76784,94,1
46787,79549,92,2
44432,69096,56,9
12615,16595,21,9
36799,67298,99,4
12142,14082,75,5
49238,59443,95,0
4703,82324,44,2
40785,71794,50,9
25330,50002,11,8
3356,12839,13,7
38557,68929,17,9
59251,68727,75,4
19672,63977,48,1
52537,80636,80,2
27758,57119,42,2
12303,16809,87,7
28251,43172,14,8
47058,54986,5,9
11396,43290,24,8
23926,83041,46,8
4970,11966,96,1
22602,83041,2,9
2673,82823,17,7
43172,84701,18,8
7705,81679,72,9
32617,37949,46,4
27647,48271,32,3
5799,54682,58,3
51548,79012,46,1
6302,66464,77,4
1500,83723,58,1
37490,62310,59,6
11424,57289,70,5
19699,31772,6,9
32748,73514,83,5
45561,66295,21,2
33054,70405,58,1
7302,20977,78,2
20886,38236,15,7
22819,42691,94,5
24570,29687,38,8
19276,31942,25,8
12966,20332,22,3
17656,69617,72,4
32215,46897,21,5
20596,56924,47,6
63357,64196,34,3
26468,54515,71,9
58087,69505,6,8
13717,73078,60,9
31460,70071,21,7
16625,35728,79,7
70002,72219,47,2
41203,42472,72,1
16103,84086,11,8
12723,32215,21,5
14596,30986,48,5
70264,71484,25,3
45953,69769,90,9
5830,76576,35,4
69512,70411,80,6
41324,67463,28,2
14718,55291,74,1
49720,59828,77,3
41320,62708,23,4
17955,60199,85,8
12290,43145,2,9
44864,83361,44,3
5379,57405,10,7
73514,80636,45,9
22326,65974,15,8
57688,83552,35,4
8124,57143,51,2
29955,33377,25,4
6645,13520,31,3
57129,65968,9,8
36662,37049,27,2
30986,43094,73,1
11828,23671,64,0
11194,41638,94,2
32215,70317,19,4
12392,18166,43,1
43050,49671,35,4
24492,32748,68,9
22546,34986,55,3
35932,55430,86,5
3850,18120,52,5
32215,49020,17,5
56794,61350,72,8
45543,49064,68,1
6180,31572,83,4
8734,57125,35,6
31772,82128,69,2
51155,62334,39,2
9361,52326,65,0
67604,68727,36,4
35519,67604,7,9
22575,72077,44,4
31281,58293,52,0
11396,50472,39,5
34363,62054,39,5
5147,40746,55,8
5147,78345,41,9
16774,19094,1,9
18241,32074,93,3
4291,18241,44,4
49053,76269,98,0
15098,48889,14,7
8754,27067,22,6
32215,66943,30,4
57405,82642,48,1
14864,82642,47,0
40932,51765,41,8
6003,83778,44,3
13092,13520,90,8
10003,84303,59,1
69209,82685,76,3
12441,23687,84,2
5879,29457,96,0
37929,48326,19,7
12354,21093,14,7
51502,58736,49,1
19243,84435,8,8
44297,83361,81,0
31974,69315,90,3
31942,39548,8,9
3805,78680,84,3
11442,80186,81,4
24305,56375,66,1
18821,47165,13,8
27923,49955,62,2
19680,23926,18,7
5989,57457,98,9
22618,34752,96,1
23424,26498,36,6
14873,51669,82,3
11264,81797,34,8
41531,64719,40,5
55478,80755,57,9
4523,60949,67,1
13435,69618,50,6
24305,75880,58,9
21143,52391,8,8
19763,54367,36,5
6152,16764,31,3
10175,66990,73,4
3850,12394,50,2
268,29840,26,8
4525,63366,65,5
3976,68643,24,3
15009,82493,31,9
20177,32641,83,3
14585,35519,10,8
48808,67911,98,6
21618,25356,16,7
3115,67453,60,3
36799,43814,96,2
20830,74298,78,9
4206,36517,9,9
32215,73361,17,5
4855,48548,91,0
68779,74967,22,6
11333,21143,36,6
5643,33767,14,9
10501,19668,14,7
5998,65716,78,3
31077,70325,61,9
5814,11020,52,2
66988,71986,88,2
117,57688,47,7
26556,54994,92,7
28656,62820,90,5
4098,71608,29,5
7311,52893,79,1
18649,55260,22,5
32215,57688,28,4
56266,59578,51,3
6291,27302,11,7
35986,61815,21,2
4531,16899,7,8
51533,72726,41,2
22842,68168,29,5
26796,35792,85,4
5179,48294,49,8
4711,82453,61,2
10168,47576,33,3
20901,74816,10,6
56794,61631,68,7
18184,78981,5,9
41628,50516,7,9
13196,84358,40,5
13370,32215,20,3
6281,60868,18,2
59042,83074,21,6
53663,72094,79,4
11146,63184,61,2
50106,55334,63,3
4885,78680,50,5
35728,40608,4,8
13190,44446,87,1
14023,51682,45,7
7119,20158,62,6
30197,55604,97,0
23812,61856,64,1
1021,17414,57,2
49720,83549,29,3
51698,63081,7,8
49571,83923,18,8
432,14518,3,8
11255,14804,56,6
31318,58417,87,3
16700,69264,50,5
36727,53146,34,3
32051,62859,47,2
8885,34536,52,1
872,28213,19,5
19314,38797,87,7
13815,47268,24,4
18439,84681,22,8
12660,31389,88,3
67614,69439,58,1
78551,82892,12,8
54782,76546,80,3
40792,51791,28,7
38529,71646,86,7
24494,33141,6,9
13820,72130,12,7
30963,69367,62,5
27754,77512,56,2
2225,21093,77,0
16079,54990,69,5
66159,84702,19,2
25891,44065,55,7
47861,51720,63,9
14300,19960,47,1
24284,67843,76,6
14366,43065,53,0
8362,32577,66,0
16042,62336,19,4
22546,22842,86,6
9959,81744,36,3
38316,47281,11,8
28722,80553,96,8
30199,65126,97,0
53331,83460,22,7
7092,14776,5,8
36958,45882,4,8
26468,31421,50,7
6526,28283,33,4
56090,65772,26,6
16700,75963,33,6
9695,69571,80,0
11458,12323,13,7
76219,82146,67,0
34169,75134,52,3
33514,33572,71,2
11464,78735,63,5
36799,75307,62,6
34089,69021,17,8
12651,32215,14,6
32015,32215,29,3
47323,47533,74,7
30590,57216,43,0
21050,58686,2,8
18649,79508,15,4
28512,78735,50,3
6430,22754,97,2
23671,53898,46,1
33657,72337,60,2
5944,14768,25,1
27403,35931,87,1
13196,74525,15,6
44207,64202,61,0
62706,72444,67,1
13370,33377,80,2
28580,29417,44,2
26054,58644,84,2
3664,8922,66,5
45897,66620,92,0
76825,82976,78,4
32215,52780,21,7
27987,62825,49,4
62872,75177,37,3
49691,83441,87,1
5661,19391,94,5
1161,38150,77,8
35091,54467,7,8
34579,60343,49,8
17928,19611,13,7
11483,61885,69,4
69512,77978,27,4
40342,76831,50,1
15115,32215,30,4
18274,20158,82,1
22986,23204,3,9
47165,57393,41,4
22425,55683,97,7
7941,32215,16,7
4098,10864,41,6
8516,25330,31,5
13847,44446,68,3
14082,43960,9,8
6971,41651,74,1
20596,33723,7,8
27601,28970,6,7
65136,74967,60,1
44864,65126,73,1
589,14266,18,5
28251,53973,60,7
2295,32215,30,2
18075,31795,80,2
59972,81558,61,0
24607,63451,40,2
62334,73237,12,8
3718,32215,19,4
6253,25332,34,6
18649,19515,17,5
20596,80126,68,5
7300,43609,85,2
54782,70455,55,1
24476,26390,13,5
13378,50937,29,4
14231,53720,91,6
4531,64353,56,1
2541,10778,47,7
2452,69654,36,4
32074,50903,33,3
59968,66361,98,0
24327,29573,43,2
52437,70908,92,3
28897,36283,22,6
15357,32215,28,3
43245,80504,14,5
53614,77276,4,9
1803,82936,75,9
18274,52979,29,4
17431,33111,54,2
44651,63959,38,7
42510,68164,76,9
37693,42184,96,5
11667,77693,39,6
6953,35493,67,3
17414,33681,88,2
5069,72302,3,9
78707,81194,7,7
8844,23926,75,6
5014,65562,93,1
59828,83549,55,8
12713,56033,82,9
55108,61302,80,1
31304,54682,38,3
32215,63403,30,2
2431,61143,77,0
44432,69505,40,2
6445,9117,24,3
19296,23925,60,3
23668,27041,33,9
34209,69195,33,8
2224,30986,49,7
20804,54782,18,9
11192,54466,3,9
16253,73401,37,7
15220,26394,16,6
17510,63272,10,8
4634,20177,24,6
14214,37708,62,5
8371,37708,73,7
28283,51502,29,5
44078,64886,88,0
5643,71806,66,1
35091,81296,46,8
16267,17701,5,8
2570,10778,64,9
52858,54763,4,9
15228,70863,9,9
31318,36410,24,4
10133,32074,9,8
22744,83019,21,7
242,68504,23,6
19680,25355,54,1
32703,49301,17,8
7119,57115,2,8
2604,81791,65,9
39674,77609,95,8
47345,67712,59,3
32215,60506,18,4
4542,14804,5,8
20054,84647,52,5
25748,33681,18,7
54669,82109,39,2
12031,79646,35,2
17414,25464,34,7
25464,49064,26,9
8716,61248,65,5
37462,65078,86,0
12140,51015,39,3
4885,20668,72,3
8460,76165,37,7
9912,16252,45,4
12394,55616,5,8
44110,82576,49,2
35458,45296,36,2
10387,29352,80,9
41161,50084,5,8
11348,36968,86,1
56270,71870,26,7
23047,41531,56,9
33723,67032,40,4
46235,80446,48,4
40932,74525,11,7
60204,82910,25,6
53604,58935,45,7
32051,81801,66,4
20269,46333,29,2
53460,58219,68,3
9988,50408,85,8
48742,55211,80,3
32288,42454,6,8
14544,25917,67,5
52826,77115,45,7
12887,71306,24,8
36139,75963,58,6
15954,26182,36,8
38646,67566,24,6
6002,64759,8,4
4278,64759,8,2
67568,78024,78,1
67568,84705,78,5
59374,71810,36,9
13001,51187,72,6
11569,13001,75,6
18291,57216,99,4
11563,18291,52,4
20276,62964,24,8
23204,28897,64,4
72341,75491,62,0
23983,76186,88,8
24494,79389,86,7
28580,63768,51,1
11934,47326,1,9
60634,74959,53,2
18774,44615,50,3
19972,39527,94,3
17673,79377,35,8
62872,81791,79,5
18748,54595,96,3
2913,32157,23,5
1940,79847,6,8
52391,64468,29,6
23602,72722,19,5
22460,62013,77,5
16089,62825,99,6
22775,60235,16,7
20596,23926,47,4
47009,62317,23,6
32215,68862,31,4
33722,46384,58,6
26419,68843,53,6
24289,41320,22,4
44446,65112,47,1
44059,52896,63,7
74525,84701,56,4
59224,73927,37,1
5511,68730,98,4
17388,36611,40,7
22266,53032,13,8
62159,76806,67,1
5540,53423,68,7
10778,19939,35,3
76574,84148,57,1
52437,66540,32,4
73360,79060,75,2
2428,75121,59,2
30197,46895,34,6
32215,41650,26,3
9365,70264,44,1
43492,62520,58,0
18774,74980,43,3
38143,82430,88,6
18943,52437,48,2
18649,49826,22,4
48098,53040,24,2
53937,75154,55,0
48249,62177,64,6
31957,50962,69,0
7965,10012,67,0
72606,80060,17,8
40068,66429,16,8
5944,13872,2,7
57981,62574,70,9
18573,71932,3,9
47281,80636,72,6
17644,71616,18,9
42573,72792,32,6
64457,71215,72,1
41302,52800,85,3
69264,72606,79,1
8844,20596,57,3
59460,65250,51,5
36167,65175,94,6
21808,77850,21,3
51374,77514,77,2
20177,84623,97,5
22806,39905,61,0
60495,78981,17,8
3564,67758,79,3
18927,77913,33,3
48004,70600,89,5
3770,17015,70,2
37321,81296,29,4
5069,32617,77,4
35617,77873,61,6
11569,17702,90,0
2925,16227,57,0
26746,42184,22,6
26913,65315,42,2
26445,75237,43,0
12325,83475,56,2
13933,73361,65,1
49372,55158,82,1
1122,40258,96,0
41767,67418,53,0
64130,81310,24,5
10961,61672,37,8
32215,42795,19,4
117,73902,42,9
62030,63250,53,1
47571,53357,3,5
12496,32215,28,3
30800,50167,2,9
15290,31653,57,2
127,69152,19,7
4943,19824,75,1
23418,39548,9,9
52780,68731,8,9
60284,84022,78,0
10141,32281,4,7
3917,69386,86,3
32215,75963,28,3
20668,52886,45,8
33183,49301,44,6
268,81679,85,6
18774,49301,96,8
8538,32215,29,3
49218,64819,65,3
20276,76866,96,2
21143,37169,76,7
7044,83202,89,5
67034,80228,57,6
61933,75262,40,4
1021,71226,31,5
6317,68654,64,6
3476,26101,78,1
57472,60200,11,8
6430,12325,97,0
36727,47268,39,2
47268,81115,33,2
823,37826,95,0
54990,55779,27,8
34895,52599,70,4
51187,70677,72,6
17257,76894,42,3
8516,60933,59,2
3027,43960,88,3
6658,63091,13,7
26468,33023,63,6
1161,36402,15,8
73360,78594,52,1
31294,32748,83,4
19276,23529,2,9
28963,51157,53,1
45450,60967,71,0
20420,58345,90,0
64344,81744,16,8
6608,36490,14,6
5179,44446,6,8
82017,84668,86,6
67161,76342,14,7
31460,60200,46,5
6317,62509,55,5
64568,68690,97,8
3548,21075,82,5
14624,64353,33,5
58758,63616,95,2
56033,71193,87,0
25891,66173,76,5
8686,46310,58,3
49099,56561,59,1
53973,82910,87,2
186,31446,6,6
15458,27611,18,8
46427,69801,71,1
55291,58471,74,3
3770,32139,31,3
18821,40021,9,9
10995,47846,39,8
70175,79992,20,5
28686,30640,81,0
14718,17883,3,9
53968,64910,53,5
12530,61312,56,1
11031,19931,60,1
19931,43960,5,8
11000,78710,67,5
19492,41966,32,5
24010,49829,43,9
17656,55694,77,7
20177,47884,80,4
13190,69512,81,1
5317,24010,60,6
13190,51187,81,6
19901,50244,95,3
7290,73043,31,5
4518,32215,23,4
67347,79047,20,9
12371,80234,65,0
32215,59991,28,5
31515,62977,96,2
20463,60523,12,7
4985,10387,9,9
18274,65871,60,8
8844,57968,24,7
19668,66524,53,2
23054,32074,83,1
22842,30883,92,0
60634,61022,1,9
22821,32617,47,2
22632,55334,13,8
63074,71864,51,4
37181,57087,35,5
31572,57087,42,3
10503,15381,5,7
11578,31421,80,6
35049,48610,78,1
2132,72039,64,2
71608,78422,58,4
31288,75623,91,0
2119,39773,83,5
31157,36440,18,6
32215,62334,20,6
49720,74299,4,8
48135,58906,48,2
8291,59036,1,9
25182,56924,68,8
18732,52929,48,1
22739,24407,12,6
43189,84061,53,1
35007,67189,99,0
14073,58063,38,1
49829,60115,88,6
52803,72656,41,5
48152,51929,80,7
11060,18791,71,2
40021,66204,99,4
30153,83684,21,7
25330,81801,73,3
47748,84641,6,8
3027,29687,5,8
35341,79060,30,5
56106,84631,37,2
3993,73353,20,6
13815,31196,17,6
31196,75041,53,2
63255,66943,5,9
13264,44873,64,1
21027,72871,49,3
20276,26593,89,2
18774,56168,85,4
51772,63760,23,2
52437,75576,65,1
64925,81744,34,9
29472,75553,53,0
17641,20830,15,7
23047,79992,50,7
27141,32215,37,2
22459,74072,45,6
38218,45863,22,6
19154,55588,96,0
1920,26165,5,8
26108,26165,7,8
73507,74360,74,2
14585,69618,32,7
7143,36667,77,1
31460,58424,20,7
49691,55650,38,7
51075,71616,12,7
19535,50019,4,8
20359,69571,5,8
1086,35023,63,8
5722,52780,77,5
19878,84486,3,8
15528,68025,74,9
51565,66484,48,1
33257,41869,81,6
32736,70905,74,0
6303,83600,38,2
32215,50594,16,5
2185,8899,23,5
16103,31268,15,7
242,56033,47,4
50167,82577,91,5
16155,46482,51,2
2607,38824,22,3
41869,42645,16,8
2330,9752,86,0
5814,6435,23,6
21999,48754,3,9
7997,40873,81,8
44432,45745,3,9
43060,45745,31,2
4853,61156,39,3
4711,38257,43,4
46665,69195,37,5
9368,83779,55,4
7757,17680,79,7
5113,29507,43,1
6643,18943,45,3
37685,67604,72,1
12901,81115,29,3
2452,78691,43,2
6268,62825,45,7
34857,50167,83,6
13279,24407,12,6
22210,59778,68,3
1305,56924,77,7
12023,78694,94,0
24644,41869,67,5
22161,24895,71,3
5862,71857,6,9
1717,24052,14,8
20328,81160,80,0
35540,51129,35,8
12465,74532,98,1
36402,38221,84,6
19960,59443,95,0
12842,24714,55,8
8819,32773,97,5
72444,72580,55,3
32215,75808,21,5
18803,74950,48,2
13800,28318,7,8
35023,72856,59,3
2132,53245,80,2
8407,81895,22,4
4080,78568,51,4
4885,84096,72,1
32215,68731,18,6
32215,43120,21,2
22377,71867,89,0
45462,56592,85,3
49796,56688,45,1
53948,68887,94,2
1845,11164,48,1
38258,48651,66,9
34883,56033,75,2
15689,81672,22,7
4098,17924,4,8
43060,73848,57,5
50317,58011,48,1
47953,80308,37,3
54745,65425,94,0
45537,72039,62,7
2072,76960,13,5
27306,41436,31,4
40,64344,24,7
5119,73021,41,1
45797,52371,16,4
22326,65407,17,7
74099,75006,44,5
32215,83417,30,3
38797,82234,11,8
56924,72420,15,8
23310,62353,18,6
48911,56589,29,7
40129,50086,15,7
11333,26468,53,2
22842,47023,79,1
18851,51628,8,8
37782,65472,59,1
18927,24895,95,2
51769,63725,2,8
12766,30403,6,8
4713,23098,59,1
63071,69199,3,8
5083,50903,43,3
53175,80186,55,2
13429,68315,97,5
32215,69954,29,2
45035,70405,64,1
60414,81296,46,5
52979,70246,12,5
10935,22925,2,9
58073,83394,96,0
32215,70264,19,4
67819,83473,16,7
19611,76219,27,5
17879,73763,49,6
50441,57009,67,5
20668,38958,84,9
22675,72612,38,3
4784,61541,22,6
1305,18373,31,6
13815,71457,99,0
10871,69816,66,2
6635,69413,73,4
42454,43226,15,8
59105,81125,88,1
43756,50396,3,8
2889,47387,99,5
2673,32215,23,6
22675,74491,41,6
27691,35408,64,2
72127,76407,89,0
53955,81827,72,4
14887,19302,59,6
32215,72310,19,4
28362,32215,29,3
67877,70588,74,2
19296,32215,29,1
27559,42510,3,8
25748,72690,99,2
3027,32735,74,6
22842,64277,67,4
6881,71737,89,0
48270,58335,38,3
13842,48270,25,6
40626,60931,47,1
4985,29352,7,9
638,72690,74,1
69571,72871,51,3
16089,64819,2,9
54072,68727,42,9
8844,19314,57,2
20158,37008,84,4
38797,72054,15,7
37510,80517,94,0
25306,64397,66,1
21020,32954,81,0
61996,67447,71,1
9479,24517,39,1
50049,75566,98,0
1026,63541,7,9
32215,38359,19,6
11194,79646,39,3
11194,14561,39,3
45206,70217,20,6
24795,66198,76,1
26715,38694,83,8
32051,38958,84,7
34867,35057,84,0
32695,57327,17,8
50322,51654,58,3
23091,82453,11,8
54072,58644,61,2
40165,56924,17,9
51961,68195,64,5
15031,51368,4,7
7790,52001,34,0
6791,50552,45,4
17463,32215,17,4
29687,52037,1,9
26330,47326,51,3
62216,72302,24,7
1940,6576,12,7
32717,75343,14,8
46715,56338,56,7
13068,18288,57,2
5317,59374,35,3
49347,55177,10,8
32215,48832,20,4
44041,58290,3,6
4910,57425,61,0
69140,70784,85,1
17656,71882,32,3
40745,73763,52,7
32954,49301,98,0
42091,44110,95,8
18241,34363,93,4
32215,54994,26,5
21946,56794,68,3
51612,71910,51,2
43596,61885,4,7
4154,76553,91,9
24848,32021,36,2
13815,33377,64,7
39573,72563,89,0
23091,26229,47,8
32215,72798,30,3
24895,76894,88,1
29798,37006,34,3
7143,42324,97,3
